TRACK_ID,PATH,mood_tags
track_0000948,48/948.mp3,background
track_0000950,50/950.mp3,background
track_0000951,51/951.mp3,background
track_0002165,65/2165.mp3,film
track_0002263,63/2263.mp3,melancholic
track_0003346,46/3346.mp3,calm	melodic
track_0003347,47/3347.mp3,calm	melodic
track_0003348,48/3348.mp3,calm	melodic
track_0003349,49/3349.mp3,calm	melodic
track_0003350,50/3350.mp3,calm	melodic
track_0003524,24/3524.mp3,melodic
track_0004629,29/4629.mp3,melodic
track_0004631,31/4631.mp3,melodic
track_0004632,32/4632.mp3,background
track_0004638,38/4638.mp3,children
track_0004639,39/4639.mp3,children	relaxing
track_0004640,40/4640.mp3,background
track_0004882,82/4882.mp3,meditative
track_0004883,83/4883.mp3,meditative
track_0004884,84/4884.mp3,meditative
track_0004889,89/4889.mp3,meditative
track_0005083,83/5083.mp3,meditative
track_0005084,84/5084.mp3,cool
track_0005085,85/5085.mp3,cool
track_0005086,86/5086.mp3,cool
track_0005089,89/5089.mp3,cool
track_0005634,34/5634.mp3,documentary	emotional	space
track_0005635,35/5635.mp3,documentary	emotional	space
track_0005636,36/5636.mp3,documentary	emotional	space
track_0005637,37/5637.mp3,documentary	emotional	space
track_0005638,38/5638.mp3,documentary	emotional	space
track_0005640,40/5640.mp3,documentary	emotional	space
track_0005641,41/5641.mp3,documentary	emotional	space
track_0005642,42/5642.mp3,documentary	emotional	space
track_0005643,43/5643.mp3,documentary	emotional	space
track_0006247,47/6247.mp3,emotional
track_0006248,48/6248.mp3,documentary
track_0006249,49/6249.mp3,documentary	emotional
track_0006250,50/6250.mp3,documentary	emotional
track_0006251,51/6251.mp3,documentary	emotional
track_0006252,52/6252.mp3,documentary	emotional
track_0006253,53/6253.mp3,documentary	emotional	relaxing
track_0006254,54/6254.mp3,documentary	emotional	relaxing
track_0006256,56/6256.mp3,documentary	emotional	relaxing
track_0006257,57/6257.mp3,documentary	emotional	relaxing
track_0006258,58/6258.mp3,documentary	emotional	relaxing
track_0006606,06/6606.mp3,melodic
track_0006607,07/6607.mp3,melodic
track_0006608,08/6608.mp3,melodic
track_0006609,09/6609.mp3,melodic
track_0006610,10/6610.mp3,melodic
track_0006611,11/6611.mp3,melodic
track_0006719,19/6719.mp3,relaxing
track_0006720,20/6720.mp3,relaxing
track_0006721,21/6721.mp3,relaxing
track_0006722,22/6722.mp3,relaxing
track_0006723,23/6723.mp3,relaxing
track_0006724,24/6724.mp3,relaxing
track_0006725,25/6725.mp3,relaxing
track_0006726,26/6726.mp3,relaxing
track_0006727,27/6727.mp3,relaxing
track_0006728,28/6728.mp3,relaxing
track_0006729,29/6729.mp3,relaxing
track_0006730,30/6730.mp3,relaxing
track_0006731,31/6731.mp3,relaxing
track_0006732,32/6732.mp3,relaxing
track_0007358,58/7358.mp3,relaxing
track_0007359,59/7359.mp3,relaxing
track_0007360,60/7360.mp3,relaxing
track_0007361,61/7361.mp3,relaxing
track_0007362,62/7362.mp3,relaxing
track_0007363,63/7363.mp3,relaxing
track_0007364,64/7364.mp3,relaxing
track_0007391,91/7391.mp3,emotional
track_0007394,94/7394.mp3,melancholic
track_0007395,95/7395.mp3,love
track_0007396,96/7396.mp3,drama
track_0007397,97/7397.mp3,adventure
track_0007400,00/7400.mp3,drama
track_0007401,01/7401.mp3,drama
track_0009592,92/9592.mp3,melodic
track_0009830,30/9830.mp3,heavy
track_0009831,31/9831.mp3,heavy
track_0009832,32/9832.mp3,heavy
track_0009833,33/9833.mp3,heavy
track_0009834,34/9834.mp3,heavy
track_0009835,35/9835.mp3,heavy
track_0009836,36/9836.mp3,heavy
track_0009837,37/9837.mp3,heavy
track_0009838,38/9838.mp3,heavy
track_0009839,39/9839.mp3,heavy
track_0011006,06/11006.mp3,dark
track_0011745,45/11745.mp3,cool
track_0011747,47/11747.mp3,cool
track_0011750,50/11750.mp3,cool
track_0011751,51/11751.mp3,cool
track_0011756,56/11756.mp3,cool
track_0011760,60/11760.mp3,cool
track_0011765,65/11765.mp3,cool
track_0011767,67/11767.mp3,cool
track_0011771,71/11771.mp3,cool
track_0011773,73/11773.mp3,cool
track_0011839,39/11839.mp3,calm	melodic	relaxing	soft
track_0011840,40/11840.mp3,calm	melodic	relaxing	soft
track_0011841,41/11841.mp3,calm	melodic	relaxing	soft
track_0011842,42/11842.mp3,calm	melodic	relaxing	soft
track_0011843,43/11843.mp3,calm	melodic	relaxing	soft
track_0011844,44/11844.mp3,calm	melodic	relaxing	soft
track_0011845,45/11845.mp3,calm	melodic	relaxing	soft
track_0012099,99/12099.mp3,energetic	heavy
track_0012100,00/12100.mp3,energetic	heavy
track_0012101,01/12101.mp3,energetic	heavy
track_0012102,02/12102.mp3,energetic	heavy
track_0012303,03/12303.mp3,retro
track_0012675,75/12675.mp3,melodic
track_0013398,98/13398.mp3,ballad	melodic
track_0013400,00/13400.mp3,ballad
track_0013823,23/13823.mp3,dark
track_0013824,24/13824.mp3,dark
track_0013825,25/13825.mp3,dark
track_0013826,26/13826.mp3,dark
track_0013827,27/13827.mp3,dark
track_0014013,13/14013.mp3,relaxing
track_0014014,14/14014.mp3,relaxing
track_0014015,15/14015.mp3,relaxing
track_0014016,16/14016.mp3,relaxing
track_0014017,17/14017.mp3,relaxing
track_0014018,18/14018.mp3,relaxing
track_0014019,19/14019.mp3,relaxing
track_0014020,20/14020.mp3,relaxing
track_0014021,21/14021.mp3,relaxing
track_0014022,22/14022.mp3,relaxing
track_0014023,23/14023.mp3,relaxing
track_0014024,24/14024.mp3,relaxing
track_0014025,25/14025.mp3,relaxing
track_0014026,26/14026.mp3,relaxing
track_0014027,27/14027.mp3,relaxing
track_0014028,28/14028.mp3,relaxing
track_0015159,59/15159.mp3,ballad
track_0015160,60/15160.mp3,advertising	ballad
track_0015161,61/15161.mp3,ballad	emotional
track_0015164,64/15164.mp3,epic
track_0015166,66/15166.mp3,emotional
track_0015167,67/15167.mp3,emotional
track_0015169,69/15169.mp3,emotional
track_0015171,71/15171.mp3,emotional
track_0015963,63/15963.mp3,calm
track_0015966,66/15966.mp3,calm
track_0015998,98/15998.mp3,action	adventure	dramatic	epic
track_0015999,99/15999.mp3,emotional	epic	powerful	upbeat
track_0016000,00/16000.mp3,dramatic	epic	powerful	upbeat
track_0016038,38/16038.mp3,dark	dramatic	epic	powerful
track_0016039,39/16039.mp3,dramatic	epic	inspiring	powerful	upbeat	uplifting
track_0016040,40/16040.mp3,epic	inspiring	soundscape	uplifting
track_0016041,41/16041.mp3,emotional	epic	powerful	upbeat	uplifting
track_0016092,92/16092.mp3,heavy
track_0016096,96/16096.mp3,heavy
track_0016101,01/16101.mp3,heavy
track_0016658,58/16658.mp3,epic	inspiring	powerful	uplifting
track_0016659,59/16659.mp3,epic	inspiring	powerful	uplifting
track_0016660,60/16660.mp3,action	epic	inspiring	powerful	uplifting
track_0016661,61/16661.mp3,emotional	inspiring	melancholic
track_0016662,62/16662.mp3,action	epic	powerful	uplifting
track_0016663,63/16663.mp3,action	epic	powerful	uplifting
track_0016664,64/16664.mp3,action	epic	inspiring	powerful	uplifting
