TRACK_ID,PATH,genre_tags
track_0000214,14/214.mp3,punkrock
track_0000215,15/215.mp3,metal
track_0000216,16/216.mp3,metal
track_0000217,17/217.mp3,punkrock
track_0000218,18/218.mp3,punkrock
track_0000219,19/219.mp3,metal
track_0000220,20/220.mp3,punkrock
track_0000221,21/221.mp3,punkrock
track_0000222,22/222.mp3,punkrock
track_0000223,23/223.mp3,metal
track_0000224,24/224.mp3,punkrock
track_0000225,25/225.mp3,punkrock
track_0000226,26/226.mp3,metal
track_0000227,27/227.mp3,metal
track_0000228,28/228.mp3,metal
track_0000229,29/229.mp3,metal
track_0000230,30/230.mp3,metal
track_0000231,31/231.mp3,metal
track_0000241,41/241.mp3,rock
track_0000242,42/242.mp3,rock
track_0000243,43/243.mp3,rock
track_0000244,44/244.mp3,rock
track_0000245,45/245.mp3,rock
track_0000246,46/246.mp3,rock
track_0000247,47/247.mp3,pop	rock
track_0000382,82/382.mp3,classical
track_0000383,83/383.mp3,classical
track_0000384,84/384.mp3,classical
track_0000385,85/385.mp3,classical
track_0000386,86/386.mp3,classical
track_0000387,87/387.mp3,classical
track_0000388,88/388.mp3,classical
track_0000389,89/389.mp3,classical
track_0000390,90/390.mp3,classical
track_0000391,91/391.mp3,classical
track_0000392,92/392.mp3,classical
track_0000393,93/393.mp3,classical
track_0000394,94/394.mp3,classical
track_0000395,95/395.mp3,classical
track_0000759,59/759.mp3,pop
track_0000760,60/760.mp3,pop
track_0000761,61/761.mp3,pop
track_0000762,62/762.mp3,pop
track_0000763,63/763.mp3,pop
track_0000764,64/764.mp3,pop
track_0000765,65/765.mp3,pop
track_0000766,66/766.mp3,pop	popfolk
track_0000767,67/767.mp3,pop
track_0000768,68/768.mp3,pop
track_0000769,69/769.mp3,pop
track_0000770,70/770.mp3,pop
track_0000771,71/771.mp3,pop
track_0000772,72/772.mp3,pop
track_0000773,73/773.mp3,electronic
track_0000774,74/774.mp3,electronic
track_0000775,75/775.mp3,easylistening	electronic	lounge
track_0000776,76/776.mp3,electronic
track_0000808,08/808.mp3,pop	rock
track_0000809,09/809.mp3,pop	rock
track_0000810,10/810.mp3,pop	rock
track_0000843,43/843.mp3,pop	rock
track_0000844,44/844.mp3,pop	rock
track_0000851,51/851.mp3,disco	funk	pop	rnb
track_0000852,52/852.mp3,disco	funk	pop	rnb
track_0000853,53/853.mp3,disco	funk	pop	rnb
track_0000854,54/854.mp3,disco	funk	pop	rnb
track_0000855,55/855.mp3,disco	funk	pop
track_0000856,56/856.mp3,disco	funk	pop	rnb
track_0000946,46/946.mp3,ambient	chillout	downtempo	easylistening	electronic	lounge
track_0000947,47/947.mp3,ambient	downtempo	easylistening	electronic	lounge	triphop
